experiment,scope,group_level,group_value,N,RMSE,MAE,Bias,R2,formal_RMSE_abs_difference
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:125,34,30.83552922233517,12.138789403389449,10.290398191721472,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:150,34,5.577645706829292,4.496281790485252,2.8694513263483143,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:175,34,7.224687651820978,4.700373538967992,-0.28173505185061243,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:200,34,14.094349308734728,8.313655466685617,3.8241520742105934,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:225,34,10.208608867911082,8.202846571781159,-2.4520233838572922,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:250,34,9.474364770168364,7.014948809601612,-7.014948809601612,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,all,all,1360,27.074837856055762,12.589150488100833,0.7259389085785817,0.8335609824367913,0.0
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,gas,CO,340,16.041937401368582,11.57963758821357,1.0899254423851503,0.9500909080068988,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:25,34,5.071010665154747,2.228661204254483,0.0227788513133066,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:50,34,13.938652240756907,10.851135424371973,1.9243527411271648,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:75,34,14.772232264216589,12.284399832064805,-5.507765805295115,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:100,34,15.207748809840696,10.833278309166174,-1.8680265894635877,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:125,34,15.289773413938597,11.496659985972215,2.2679649153023878,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:150,34,23.27194374563777,19.162849335573274,10.47645718075692,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:175,34,16.735274978952372,11.956515387430644,2.751814787348829,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:200,34,20.172228652761852,18.25008703890296,7.56811724182748,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:225,34,15.361976383742105,11.60080008750277,0.395550377830523,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,CO:250,34,14.33885692457458,7.1319892768964035,-7.1319892768964035,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,gas,Ethanol,340,22.89410306986133,9.317341494416643,2.342161928734393,0.593394458861821,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:12.5,34,62.93353060901628,21.366825117470444,21.366825117470444,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:25,34,18.847935479105523,9.755890884289787,9.52209585727851,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:37.5,34,17.507635913764055,10.137394733444827,10.021604593297289,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:50,34,5.735094032893113,4.376390422331461,1.9092963812382167,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:62.5,34,9.37871817960917,7.585159572550922,6.553277628981722,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:75,34,9.643735560730256,8.299625454081294,-1.5914160045678216,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:87.5,34,6.486355411810724,4.903548694405844,2.1629859433665666,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:100,34,8.870939318653003,7.5666421905937264,-7.527619476048426,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:112.5,34,8.86330151688349,6.925559555887368,-6.73905243456181,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethanol:125,34,14.346794526242174,12.256378319110759,-12.256378319110759,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,gas,Ethylene,340,4.682209998005309,2.7678863856740534,0.9518676910254507,0.9829929964874311,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:12.5,34,0.6978267247052101,0.2027732182211872,0.2027732182211872,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:25,34,3.0161105841386817,2.256471691141847,1.4283401672108011,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:37.5,34,2.9984813238710717,2.0251483203783125,1.4378810554696062,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:50,34,4.278092976203539,3.4732591092640868,2.776180980654335,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:62.5,34,9.158128631728287,4.210564285012625,1.97088327766018,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:75,34,5.616332477278988,4.313919159473837,3.8400035673942976,nan,
B_OLD_CKPT_NEW_DATA,PIPELINE_ALL,concentration,Ethylene:87.5,34,3.6377468616051187,2.7014996166217933,-0.7567226108904241,nan,
