replicate,sampled_file_count,sampled_window_count,a4_minus_a0t_rmse,a4_minus_a0t_mean_excess_squared_error
1754,80,1336,-0.6510922108323651,-19.248940000324865
1755,80,1360,1.0738766690619208,37.70085105675976
1756,80,1374,-0.9643776871424485,-28.210107851674522
1757,80,1359,-10.90085972301598,-494.92365704931717
1758,80,1374,-3.854961506384619,-181.23613807233522
1759,80,1344,-3.493972519463032,-132.36537111776602
1760,80,1336,-6.343143775505444,-230.64324849471944
1761,80,1351,-11.579235383669904,-556.2597079872367
1762,80,1353,1.2994602203898147,45.123342901608865
1763,80,1340,3.7480868770081575,118.06359812788348
1764,80,1358,-7.182679878697268,-359.77063076675455
1765,80,1365,-4.1971974226118185,-178.9302616556665
1766,80,1337,-4.222578015417255,-167.36613536353323
1767,80,1360,-0.00873700957745882,-0.2957816603223762
1768,80,1363,5.811655483648515,169.19478432091242
1769,80,1354,-10.651695306541779,-536.5402698101749
1770,80,1346,0.5466797752470391,20.26648275414533
1771,80,1357,-0.2382410786496294,-8.155601632429324
1772,80,1365,-4.325378531667305,-207.31196489052996
1773,80,1384,-3.5254778258269717,-152.49256048510733
1774,80,1343,-0.2145241768730486,-6.009696223853183
1775,80,1347,-8.134166086609056,-343.7065274342157
1776,80,1325,-3.1046994818699467,-129.99386869790155
1777,80,1359,-5.1191903452778575,-240.16343648697415
1778,80,1368,-7.957241331148088,-288.61546618840396
1779,80,1371,-0.4620054204654487,-15.716428915151639
1780,80,1371,1.2571922544131198,57.105176237854266
1781,80,1360,2.4496387180770682,78.8231564149165
1782,80,1382,-3.700737622024608,-150.29168841602984
1783,80,1349,-7.518875215023765,-314.4037515271127
1784,80,1356,-0.0039352227082538604,-0.14557791856782387
1785,80,1377,-1.1682554737430415,-49.09688817772954
1786,80,1371,-2.015695570058213,-69.50341695714607
1787,80,1351,-1.7328531043170798,-72.82754445876273
1788,80,1332,-4.464108816541746,-177.44910188542684
1789,80,1335,-4.8692007864498486,-227.02212028574388
1790,80,1378,1.5372087198228215,62.41782127494156
1791,80,1372,2.5762012375852947,109.4322022818296
1792,80,1364,-3.948887682778299,-179.39433456172884
1793,80,1369,-2.6048529880445592,-88.65719909164301
1794,80,1379,-4.687245343750742,-175.05393967061383
1795,80,1380,-3.0142231816819205,-120.98683384449353
1796,80,1347,-4.260951563361909,-140.99817221501633
1797,80,1357,1.8161535724322704,69.34459717206704
1798,80,1366,-15.652315722102712,-693.1530066489892
1799,80,1368,-4.503043035921749,-176.61097337144548
1800,80,1350,-2.705218051790961,-98.90902525982126
1801,80,1376,0.8951215789164522,26.134313482378438
1802,80,1368,0.9578622401505239,31.355023216190233
1803,80,1369,-7.334893907202606,-294.5407231044719
1804,80,1357,1.6029290475720117,65.35373230977109
1805,80,1349,-6.052157166136226,-285.9859489839605
1806,80,1364,-6.742472526880466,-320.9846707504412
1807,80,1357,-2.6612405283561316,-101.4719367988036
1808,80,1353,3.047300111167619,106.9093864986013
1809,80,1361,-11.901036524423706,-461.8062365713644
1810,80,1394,-2.6390754689001845,-99.61278695439998
1811,80,1378,-3.997914750587242,-156.73523883540804
1812,80,1365,-4.2344440572302595,-175.30223095189785
1813,80,1356,-4.560854578969302,-206.4200026021626
1814,80,1375,-8.796706055633027,-455.09301423009265
1815,80,1355,-4.086038724784693,-150.25399156288097
1816,80,1348,-6.729259297496853,-261.2837029418631
1817,80,1344,-12.982025246829153,-648.7301742761625
1818,80,1379,0.5848163871942447,21.602845138920486
1819,80,1347,0.9871327136945887,36.09284732869543
1820,80,1344,-4.944878674744384,-261.8998912176949
1821,80,1357,-3.2045005031196734,-110.4309268965547
1822,80,1360,3.0459460955581967,103.10602896515192
1823,80,1340,2.191367090961796,69.54942733257262
1824,80,1379,-3.0945304018886084,-136.94215805171652
1825,80,1366,-0.2809767858750156,-12.470428039767995
1826,80,1371,-5.244319921144346,-205.79611331237317
1827,80,1351,-4.859439973914199,-206.31717111111112
1828,80,1385,-5.319276462777932,-247.1784667750547
1829,80,1357,-2.5391339505109016,-116.13703476980996
1830,80,1359,-2.483472125988257,-87.135107541267
1831,80,1364,-3.3275152581692424,-122.39388394427098
1832,80,1345,-8.346052539204198,-368.64485919370026
1833,80,1350,-10.906181954265703,-421.90842338210166
1834,80,1377,-7.411419935800918,-337.0701443933615
1835,80,1340,-12.892550044310592,-543.4762495985593
1836,80,1362,-7.915646174824083,-382.8430218929578
1837,80,1355,2.290073158527429,67.96886782231829
1838,80,1366,-4.549924875700164,-190.25109600485348
1839,80,1362,-4.858091499777853,-207.78303623214796
1840,80,1372,-3.4062812841819543,-140.72533893639476
1841,80,1357,-3.346771214411042,-172.10462712227422
