replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
608,80,1373,-0.7563181278901432
609,80,1359,0.715229402277739
610,80,1359,3.0503441522573453
611,80,1379,-1.3769334666451059
612,80,1354,-0.6055130789330434
613,80,1362,-2.322568390999564
614,80,1377,0.47441766341898983
615,80,1355,2.5446506153983144
616,80,1337,0.08852027228273585
617,80,1349,-0.545369113308773
618,80,1367,-0.35139445382397483
619,80,1357,-1.328417935021509
620,80,1333,0.24256939273429623
621,80,1350,-0.8745212035691061
622,80,1353,2.0103553377563195
623,80,1341,4.5852632118703625
624,80,1367,2.2728680687701335
625,80,1348,0.9198563119383998
626,80,1356,0.5154756320909613
627,80,1365,-0.11184405200041425
628,80,1384,-1.7273867355428365
629,80,1352,2.77037553425151
630,80,1368,1.9244687080480638
631,80,1373,-1.255945308270693
632,80,1381,2.819961064390103
633,80,1366,-1.4227692193094015
634,80,1343,1.6406525038150264
635,80,1353,-0.5276621342156496
636,80,1364,-2.2762203816010143
637,80,1366,1.6397408226838017
638,80,1355,0.3790303964753434
639,80,1363,0.7373338617241174
640,80,1381,0.7936823002585776
641,80,1348,1.0471566918279152
642,80,1374,2.398594213124394
643,80,1364,-3.535411440239262
644,80,1363,2.471876640782501
645,80,1362,0.9620587314944977
646,80,1385,0.03428362809950869
647,80,1366,-0.964765114902363
648,80,1366,-1.0490244662739059
649,80,1361,-0.3797446561588025
650,80,1365,-1.1840939741770313
651,80,1363,2.297151606416456
652,80,1362,2.597231365083598
653,80,1372,-2.6862995048431273
654,80,1359,0.31210667773475365
655,80,1379,0.3260768418677493
656,80,1375,0.8250959227222374
657,80,1337,0.777593787518331
658,80,1366,-0.41121134653812064
659,80,1355,1.1699878582428624
660,80,1362,1.2034332137957797
661,80,1360,1.3389792248238983
662,80,1375,1.3371179956274837
663,80,1350,-1.1562867242344232
664,80,1364,0.6269763667181856
665,80,1348,-1.5065233445277713
666,80,1339,0.8808327060637176
667,80,1369,-0.7615465033077591
668,80,1361,0.9803992785172149
669,80,1355,0.051082520896628125
670,80,1358,0.35371658549752993
671,80,1371,-0.1379062456221547
672,80,1355,-0.271800210037874
673,80,1351,0.08374641382993175
674,80,1366,0.4197301314313968
675,80,1333,-0.7567258422456646
676,80,1382,2.4366337680494823
677,80,1354,-2.74829908385529
678,80,1347,1.5718248244245068
679,80,1356,0.7874641912725338
680,80,1348,-0.40419477669789927
681,80,1345,1.4832222221910918
682,80,1346,-0.17227901219899167
683,80,1364,-0.1236747370676774
684,80,1353,1.2722309232036153
685,80,1344,1.2486536528129477
686,80,1331,1.7541967909437162
687,80,1352,-0.765956307778886
688,80,1364,-2.3484714640409976
689,80,1360,1.313740924682353
690,80,1366,2.620913444892814
691,80,1375,-1.2220244162603464
692,80,1342,0.5080648247640838
693,80,1350,0.840691972645299
694,80,1334,-1.4055285914921818
695,80,1353,-1.5258942103717175
696,80,1336,0.6503930865350469
697,80,1345,0.05116147674119276
698,80,1364,0.8531722288313048
699,80,1363,1.5257390864982874
700,80,1363,0.7139294427627796
701,80,1366,0.40043039088703125
702,80,1340,1.00610703578446
703,80,1346,-0.34620634152702934
704,80,1329,2.744876741127925
705,80,1357,2.5824181315268007
706,80,1366,1.2495631025059168
707,80,1356,-3.9307401783026776
708,80,1353,1.0426792768337272
709,80,1363,-0.5336579368887477
710,80,1363,1.4780806495056282
711,80,1363,-0.7459252108604311
712,80,1355,0.6271491009920318
713,80,1356,1.475446548053391
714,80,1386,-0.9310107973757695
715,80,1362,1.5646711875322907
716,80,1364,0.20775939399350563
717,80,1368,-2.1750693431712484
718,80,1351,-1.001199274755983
719,80,1385,-0.9312733184945436
720,80,1344,0.43171103829948265
721,80,1366,2.5270884259191213
722,80,1356,2.1287315084232965
723,80,1359,0.9321887744770834
724,80,1366,-1.697500484623319
725,80,1367,1.3319170510412377
726,80,1376,0.727943194078378
727,80,1356,0.6341017181675532
